file: Tile_013-027-000000_0-000.s0001_e00.tif; corr: 0; position: (55428.02440693241, 4394.295765148519); grid: (15, 1);
file: Tile_013-028-000000_0-000.s0001_e00.tif; corr: 0; position: (59124.61460765306, 4376.175023710624); grid: (16, 1);
file: Tile_013-029-000000_0-000.s0001_e00.tif; corr: 0; position: (62801.505043846555, 4363.120147823654); grid: (17, 1);
file: Tile_013-030-000000_0-000.s0001_e00.tif; corr: 0; position: (66491.99213242723, 4347.1459870247345); grid: (18, 1);
file: Tile_013-031-000000_0-000.s0001_e00.tif; corr: 0; position: (70187.47537520062, 4332.876398740969); grid: (19, 1);
file: Tile_013-032-000000_0-000.s0001_e00.tif; corr: 0; position: (73881.08765040425, 4318.756085860521); grid: (20, 1);
file: Tile_013-033-000000_0-000.s0001_e00.tif; corr: 0; position: (77580.93810837955, 4303.50961533517); grid: (21, 1);
file: Tile_013-034-000000_0-000.s0001_e00.tif; corr: 0; position: (81269.74425667204, 4286.407079433324); grid: (22, 1);
file: Tile_013-035-000000_0-000.s0001_e00.tif; corr: 0; position: (84956.71855065686, 4294.549563754183); grid: (23, 1);
file: Tile_013-036-000000_0-000.s0001_e00.tif; corr: 0; position: (88649.73009122768, 4277.196685743358); grid: (24, 1);
file: Tile_013-037-000000_0-000.s0001_e00.tif; corr: 0; position: (92336.81971409818, 4260.938636047416); grid: (25, 1);
file: Tile_013-038-000000_0-000.s0001_e00.tif; corr: 0; position: (96022.30726508895, 4243.511166178141); grid: (26, 1);
file: Tile_013-039-000000_0-000.s0001_e00.tif; corr: 0; position: (99718.97071397025, 4226.119107628001); grid: (27, 1);
file: Tile_013-040-000000_0-000.s0001_e00.tif; corr: 0; position: (103407.4275584388, 4208.184490240223); grid: (28, 1);
file: Tile_013-041-000000_0-000.s0001_e00.tif; corr: 0; position: (107101.64961103251, 4187.473818796112); grid: (29, 1);
file: Tile_013-042-000000_0-000.s0001_e00.tif; corr: 0; position: (110781.62082791928, 4166.19386809149); grid: (30, 1);
file: Tile_013-043-000000_0-000.s0001_e00.tif; corr: 0; position: (114456.94285065925, 4142.802315464542); grid: (31, 1);
file: Tile_013-044-000000_0-000.s0001_e00.tif; corr: 0; position: (118150.01387740887, 4120.454843285246); grid: (32, 1);
file: Tile_013-045-000000_0-000.s0001_e00.tif; corr: 0; position: (121840.15873491642, 4097.012234718612); grid: (33, 1);
file: Tile_013-046-000000_0-000.s0001_e00.tif; corr: 0; position: (125525.66050197661, 4074.660894009743); grid: (34, 1);
